TITLE,USER RATING,GENRES,CAST
Rally Road Racers,74.21000000000001,"['Animation', 'Family', 'Comedy']","['Jimmy O. Yang', 'Lisa Lu', 'Chloe Bennet', 'J.K. Simmons', 'Catherine Tate', 'Sharon Horgan', 'John Cleese', 'Kerry Shale', 'Naomi McDonald', 'Nick Heath', 'Raza Jaffrey', 'Rebecca Yeo', 'Alexander Rodriguez']"
Wonka,100.0,"['Comedy', 'Family', 'Fantasy']","['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Sally Hawkins', 'Rowan Atkinson', 'Olivia Colman', 'Hugh Grant', 'Matt Lucas', 'Jim Carter', 'Rakhee Thakrar', 'Natasha Rothwell', 'Rich Fulcher', 'Tom Davis', 'Kobna Holdbrook-Smith', 'Simon Farnaby', 'Paterson Joseph', ""Colin O'Brien"", 'Ellie White', 'Mathew Baynton', 'Luan Gallagher', 'Freya Parker', 'Justin Edwards', 'Murray McArthur']"
Inside Out,79.22,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","['Amy Poehler', 'Phyllis Smith', 'Bill Hader', 'Kaitlyn Dias', 'Richard Kind', 'Lewis Black', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan', 'Bobby Moynihan', 'Paula Poundstone', 'Paula Pell', 'Dave Goelz', 'Frank Oz', 'Josh Cooley', 'Flea', 'John Ratzenberger', 'Carlos Alazraqui', 'Peter Sagal', 'Rashida Jones', 'Jess Harnell', 'Danny Mann', 'Lori Alan', 'Gregg Berger', 'Veronika Bonell', 'John Cygan', 'Laraine Newman']"
Mad Max: Fury Road,75.85,"['Action', 'Adventure', 'Science Fiction']","['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Riley Keough', 'Zoë Kravitz', 'Rosie Huntington-Whiteley', 'Abbey Lee', 'Courtney Eaton', 'Josh Helman', 'Nathan Jones', 'John Howard', 'Richard Carter', 'Iota', 'Angus Sampson', 'Jennifer Hagan', 'Megan Gale', 'Melissa Jaffer', 'Melita Jurišić', 'Gillian Jones', 'Joy Smithers', 'Antoinette Kellerman', 'Christina Koch', 'Jon Iles', 'Quentin Kenihan', 'Coco Jack Gillies', 'Chris Patton', 'Stephen Dunlevy', 'Richard Norton', 'Vincent Roxburgh', 'John Walton', 'Ben Smith-Petersen', 'Russ McCarroll', 'Judd Wild', 'Elizabeth Cunico', 'Greg Van Borssum', 'Robert Jones', 'Sebastian Dickins', 'Darren Mitchell', 'Crusoe Kurddal', 'Shyan Tonga', 'Cass Cumerford', 'Albert Lee', 'Ripley Voeten', 'Riley Paton', 'Maycn Van Borssum', 'Hunter Stratton Boland', 'Nathan Jenkins', 'Fletcher Gill', 'Whiley Toll', 'Ferdinand Hengombe', 'Gadaffi Davsab', 'Noddy Alfred', 'Jackson Hengombe', 'Christian Fane', 'Callum Gallagher', 'Abel Hofflin', 'Lee Perry', 'Hiroshi Kasuga']"
Thriller Night,68.89999999999999,['Animation'],"['Michael Gough', 'Dean Edwards', 'Holly Fields', 'André Sogliuzzo', 'Cody Cameron', 'Conrad Vernon', 'Walt Dohrn', 'Bobby Kimball', 'Sean Bishop', 'Jerry Clarke', 'Brentley Gore', 'Mark McCracken', 'Pinky Turzo']"
Thanksgiving,62.0,"['Horror', 'Thriller', 'Mystery']","['Nell Verlaque', 'Patrick Dempsey', 'Addison Rae', 'Milo Manheim', 'Jalen Thomas Brooks', 'Gabriel Davenport', 'Tomaso Sanelli', 'Jenna Warren', 'Rick Hoffman', 'Karen Cliche', 'Gina Gershon', 'Ty Olsson', 'Mika Amonsen', 'Shailyn Griffin', 'Jordan Poole', 'Amanda Barker', 'Tim Dillon', 'Chris Sandiford', 'Joe Delfin', 'James Goldman', 'Lynne Griffin', 'Derek McGrath', 'Katherine Trowell', 'Jeff Teravainen', 'Russell Yuen', 'Joseph Claude Dubois', 'Xavier Sabeta', 'Adam MacDonald']"
Detective Conan: Black Iron Submarine,66.0,"['Animation', 'Action', 'Crime', 'Mystery']","['Minami Takayama', 'Wakana Yamazaki', 'Rikiya Koyama', 'Megumi Hayashibara', 'Shuichi Ikeda', 'Kazuhiko Inoue', 'Kenichi Ogata', 'Atsuko Yuya', 'Yukimasa Kishino', 'Yukitoshi Hori', 'Fumihiko Tachiki', 'Mami Koyama', 'Toru Furuya', 'Kotono Mitsuishi', 'Kikuko Inoue', 'Hiroyuki Kinoshita', 'Shigeru Chiba', 'Ikki Sawamura', 'Chafurin', 'Miyuki Ichijou', 'Takaya Hashi', 'Kappei Yamaguchi', 'Kenji Nomura', 'Ryotaro Okiayu', 'Sakiko Tamagawa', 'Ayumu Murase', 'Ikki Sawamura', 'Atsumi Tanezaki', 'Hiroshi Kamiya', 'Junichi Suwabe', 'Ikuya Sawaki', 'Nami Miyahara', 'Hiroshi Tsuchida']"
The Monkey King: Reborn,71.25,"['Animation', 'Action', 'Fantasy', 'Family']","['Jiang Bian', 'Haiting Cai', 'Su Shangqing', 'Zhang Lei', 'He Zhang', 'Qiang Lin', 'Sicen Liu', 'Wang Chenguang', 'Zhongyang Baomu', 'Sheng Feng', 'Zhang Yaohan', 'Bai Xuecen', 'Qiu Qiu', 'Roly Gutiérrez', 'Jason Kesser', 'Donald Guzzi', 'Dalton Walker']"
1962 Halloween Massacre,30.0,['Horror'],"['Ariel Ash', 'Caroline Beagles', 'Will Branner', 'William Jousset', 'Joan Milburn', 'Kyle Myhre', 'Benjamin Nowak', 'Jeremiah Wenutu']"
Black Adam,69.95,"['Action', 'Adventure', 'Science Fiction']","['Dwayne Johnson', 'Aldis Hodge', 'Noah Centineo', 'Sarah Shahi', 'Quintessa Swindell', 'Marwan Kenzari', 'Mo Amer', 'Bodhi Sabongui', 'Pierce Brosnan', 'James Cusati-Moyer', 'Jalon Christian', 'Benjamin Patterson', 'Odelya Halevi', 'Uli Latukefu', 'Jennifer Holland', 'Henry Winkler', 'Chaim Jeraffi', 'Sharon Gee', 'Stephan Jones', 'A. Manuel Miranda', 'Djimon Hounsou', 'Raj Kala', 'E. Lloyd Napier', 'Kiara Rashawn', 'Onye Eme-Akwari', 'Sanna Erica', 'Vince Canlas', 'Tonea Stewart', 'Meghna Nagarajan', 'Patrick Sabongui', 'Alex Parkinson', 'Joseph Gatt', 'Kamen Casey', 'Dennis Dawson', 'Mike Senior', 'Jermaine Rivers', 'Regina Ting Chen', 'Sekou Laidlow', 'Cameron Moir', 'Donny Carrington', 'Boone Platt', 'Philip Fornah', 'Derek Russo', 'Angel Rosario Jr.', 'Tang Nguyen', 'Christopher Matthew Cook', 'Natasha Ellie', 'Daniel Danca', 'Yssa Mei Panganiban', 'Ben Jenkin', 'Viola Davis', 'Henry Cavill', 'Natalie Burn', 'Maurice T. Johnson', 'Tre Ryan', 'Clint Eastwood']"
Around the World in 80 Days,54.059999999999995,"['Animation', 'Family']","['Damien Frette', 'Julien Crampon', 'Kaycie Chase', 'Céline Ronté', 'Véronique Augereau']"
The Mercator Trail,60.0,"['Adventure', 'Family']","['Nathan Naenen', 'Britt Scholte', 'Carry Goossens', 'Koen De Bouw', 'Nora Gharib', 'Carlos Schram', 'Jonas Van Thielen', 'Jolan de Bouw', 'Peter De Graef', 'Nicolas de Pruyssenaere']"
Black Panther: Wakanda Forever,71.68,"['Action', 'Adventure', 'Science Fiction']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke', 'Dominique Thorne', 'Tenoch Huerta Mejía', 'Angela Bassett', 'Florence Kasumba', 'Michaela Coel', 'Mabel Cadena', 'Lake Bell', 'Alex Livinalli', 'Robert John Burke', 'Danny Sapani', 'Isaach De Bankolé', 'Connie Chiume', 'Martin Freeman', 'Julia Louis-Dreyfus', 'Richard Schiff', 'Michael B. Jordan', 'Dorothy Steel', 'Zainab Jah', 'Sope Aluko', 'Trevor Noah', 'Shawn Roberts', 'Zola Williams', 'Janeshia Adams-Ginyard', 'Jemini Powell', 'Marija Abney', 'Keisha Tucker', 'Ivy Haralson', 'Maya Macatumpag', 'Baaba Maal', 'Jabari Exum', 'Massamba Diop', 'Magatte Saw', 'Gerardo Aldana', 'Gigi Bermingham', 'Rudolph Massanga', 'Judd Wild', 'Amber Harrington', 'Michael Blake Kruse', 'Justin James Boykin', 'Anderson Cooper', 'Mackenro Alexander', 'Kamaru Usman', 'T. Love', 'Floyd Anthony Johns Jr.', 'Jermaine Brantley', 'Granger Summerset II', 'Luke Lenza', 'Alan Wells', 'Bill Barrett', 'Lieiry J. Perez Escalera', 'Sevyn Hill', 'Gavin Macon', 'Skylar Ebron', 'Taylor Holmes', 'Angela Cipra', 'Faya Madrid', 'María Telón', 'María Mercedes Coroy', 'Josué Maychi', 'Sal Lopez', 'Irma Estella La Guerre', 'Manuel Chavez', 'Leonardo Castro', 'Juan Carlos Cantu', 'Shawntae Hughes', 'Corey Hibbert', 'Zaiden James', 'Aba Arthur', 'Délé Ogundiran', 'Kevin Changaris', 'Valerio Dorvillen', 'Don Castor', 'Jonathan González Collins', 'Divine Love Konadu-Sun', 'Chadwick Boseman']"
The Night Crew,51.0,"['Thriller', 'Action', 'Mystery']","['Jason Mewes', 'Danny Trejo', 'Chasty Ballesteros', 'Luke Goss', 'Bokeem Woodbine', 'Christine Nguyen', 'Jacqueline Lord', ""Roberto 'Sanz' Sanchez"", 'Luciana Faulhaber', 'Paul Sloan', 'Bruna Rubio', 'Ryan Noto', 'Xu Razer', 'Kaleti Williams', 'Rebecca Rowley', 'Anthony J. Rickert-Epstein', 'Don Swayze', 'Chris Guzzi', 'Pedro Chingo Bling Herrera', 'Annie Cruz']"
Amazonia: The Catherine Miles Story,60.82,"['Adventure', 'Drama', 'Horror']","['Elvire Audray', 'Will Gonzales', 'Andrea Coppola', 'Dick Campbell', 'Dick Marshall', 'Alma Vernon', 'Grace Williams', 'Sara Fleszer', 'Mark Cannon']"
Family Switch,63.53,"['Comedy', 'Fantasy', 'Family']","['Jennifer Garner', 'Ed Helms', 'Emma Myers', 'Brady Noon', 'Lincoln Sykes', 'Theodore Sykes', 'Rita Moreno', 'Matthias Schweighöfer', 'Vanessa Carrasco', 'Cyrus Arnold', 'Ilia Isorelýs Paulino', 'Jordan Leftwich', 'Xosha Roquemore', 'Bashir Salahuddin', 'Paul Scheer', 'Helen Hong', 'Ned Bellamy', 'Andrew Bachelor', 'Dan Finnerty', 'Howie Mandel', 'Rivers Cuomo', 'Brian Bell', 'Scott Shriner', 'Patrick Wilson', 'Riannah Pouncy', 'Pete Holmes', 'Naomi Ekperigin', 'Joe Mortimer', 'Fortune Feimster', 'Adam Lustick', 'Sebastian Quinn', 'Ravi Kapoor', 'Carl McDowell', 'Snowden Grey', 'Anwar Jibawi', 'Hannah Stocking', 'Mark McGrath', 'Bob Stephenson', 'Violet Miller', 'William Adams', 'Brad Ofo', 'Benjamin Flores Jr.', 'Nate Arnold', 'Arjun Sriram', 'Connor Finnerty', 'Kiara T. Romero', 'Stefan Sacks', 'Kelsey Guy', 'Ho-Jung', 'Punam Patel', 'Jason Rogel', 'Alanna Fox', 'Lauren Ash', 'Jamie Pasquinelli', 'Chloé Wepper', 'Austin Boyce', 'Julia Wein', 'Hanbit Yi', 'Ryann Torrero', 'Karen Callado', 'M.J. George', 'Juan De La Rosa', 'Williams Barletta', 'Erica Lynn Cunanan', 'Preston Galli']"
Killers of the Flower Moon,76.91,"['Crime', 'Drama', 'History']","['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons', 'Tantoo Cardinal', 'Scott Shepherd', 'Jason Isbell', 'William Belleau', 'Cara Jade Myers', 'John Lithgow', 'Brendan Fraser', 'JaNae Collins', 'Jillian Dion', 'Louis Cancelmi', 'Tommy Schultz', 'Everett Waller', 'Tahlee Redcorn', 'Yancey Red Corn', 'Tatanka Means', 'Sturgill Simpson', 'Ty Mitchell', 'Gary Basaraba', 'Charlie Musselwhite', 'Pat Healy', 'Steve Witting', 'Steve Routman', 'Gene Jones', 'Michael Abbott Jr.', 'J. C. MacKenzie', 'Jack White', 'Larry Sellers', 'Barry Corbin', 'Gabriel Casdorph', 'Samuel French', 'Wally Welch', 'James Roman Dailey Jr.', 'Christopher Cote', 'Randy Houser', 'Moe Headrick', 'Pete Yorn', 'Margaret Shannon-Sisk', 'Moira Redcorn', 'Eric Parkinson', 'Chase Parker', 'Jarad Looper', 'John Gibbs', 'Jerry Logsdon', 'Jacob Lux', 'Xavier Toehay', 'Mike Cook', 'Katherine Willis', 'Delani Chambers', 'Zachary Hokeah', 'Talon Satepauhoodle', 'Jennifer Rader', 'Chance Rush', 'Dana Daylight', 'Mahada Sanders', 'Ben Hall', 'John Q. Wilson', 'Beau Smith', 'Victor McCay', 'Nathalie Standingcloud', 'Jay Paulson', 'Marvin E. Stepson Jr.', 'Tracey Ann Moore', 'Easton Wade Yellowfish', 'Reignen Yellowfish', 'Candice Costello', 'Father Chris Daigle', 'Justin France', 'Jerry Wolf', 'Addie Roanhorse', 'Erica Pretty Eagle Moore', 'Mason Cunningham', 'Norma Jean', 'Elisha Pratt', 'Desireee Storm Brave', 'Margaret Gray', 'Christopher Hill', 'Dolan Wilson', 'Jackie Wyatt', 'Rayna Gellert', 'Nokosee Fields', 'Kieran Kane', 'Lucas Ross', 'Elijah Cemp Ragsdale', 'Vanessa Rose Pham', 'Terry Allen', 'Jo Harvey Allen', 'Sarah Spurger', 'Joshua Close', 'Elden Henson', 'Kinsleigh McNac', 'Roanin Davis', 'David Fields', 'Anthony J. Harvey', 'Stephen Berkman', 'William Alyn Hill', 'Joseph Spinelli', 'Blaine Hall', 'Brent Langdon', 'Leland Prater', 'DJ Whited', 'Elizabeth Waller', 'Jessica Harjo', 'Joey Oglesby', 'Alexis Ann', 'Lee Eddy', 'Gary S. Pratt', 'Nathaniel Arcand', 'Kristin Keith', 'Bravery Nowlin', 'Edward Gray Sr.', 'Angela Pratt', 'Henry Amos Gray', 'Samuel Gray', 'Edward Gray Jr.', 'Mamie Cozad', 'Shonagh Smith', 'Joel Tallchief Lemon', 'Richard Lookout RulingHisSun', 'Brett Bower', 'Garrison Panzer', 'River Rhoades', 'Zack T. Morris', 'Harrison Shackelford', 'Alexis Waller', 'Mark Landon Smith', 'Tom Ashmore', 'Myron F. Red Eagle', 'Dolores Marie Goodeagle', 'Matt Tolentino', 'Johnny Baier', 'Gregory Fallis', 'Patrick Bubert', 'TJ Muller', 'Will Reardon-Anderson', 'Peter Reardon-Anderson', 'Kyle Dillingham', 'Jacob Johnson', 'Jeffrey Stevenson', 'Clint Rohr', 'D. Reride Smith', 'James Healy Jr.', 'Jeremy Goodvoice', 'Ron McMahan', 'Seth Buckminster', 'Penny Potts', 'Melissa Tiger', 'Karen Garlitz', 'Bronson Redeagle', 'Jenny Paige Lynn', 'David Born', 'Mary Buss', 'Ted Welch', 'Carl Palmer', 'Tanner Brantley', 'Jezy Gray', 'Steve Eastin', 'Joe Chrest', 'Brian Shoop', 'James Carroll', 'Lux Britni Malaske', 'Adam Washington', 'Larry Jack Dotson', 'Larry Fessenden', 'Welker White', 'Martin Scorsese', 'Marko Costanzo', 'Nicholas White', 'Rob Fisher', 'Vince Giordano', 'Paul Woodiel', 'Andy Stein', 'Sam Bardfeld', 'Joe Boga', 'Jon-Erik Kellso', 'Jim Fryer', 'Marc Phaneuf', 'Mark Lopeman', 'Chris Byars', 'Vinny Raniolo', 'Paul Wells', 'Peter Yarin', 'Scott George', 'Kenneth Bighorse Jr.', 'Vann Bighorse', 'Anna L. Bighorse', 'Mason Bighorse', 'Norris Bighorse', 'Scott Bighorse', 'Paul Bighorse', 'Taveah Ann George', 'Wahwastoas J. Jones', 'Dobbin Monoessy Knifechief', 'Julia Lookout', 'Jennifer Moses', 'Francis Pipestem Jr.', 'Michael Paul Pahsetopah', 'Silas Satepauhoodle', 'Cherylyn Oberly Satepauhoodle', 'Charisse Satepauhoodle', 'Lynette Satepauhoodle', 'John Shaw', 'Angela Toineeta Satepauhoodle', 'Alexandria Toineeta', 'Ed Yellowfish', 'Nick W. Nicholson', 'Danny Frost']"
Black Butler: Book of Murder,81.0,"['Mystery', 'Animation', 'Adventure']","['Daisuke Ono', 'Maaya Sakamoto', 'Ryohei Kimura', 'Shintaro Asanuma', 'Junichi Suwabe', 'Yuki Kaji', 'Yukari Tamura', 'Takuma Terashima', 'Shunji Fujimura', 'Hiroki Touchi', 'Emiri Kato']"
The Last Voyage of the Demeter,71.50999999999999,"['Thriller', 'Horror']","['Corey Hawkins', 'Aisling Franciosi', 'David Dastmalchian', 'Javier Botet', 'Liam Cunningham', 'Chris Walley', 'Jon Jon Briones', 'Stefan Kapičić', 'Martin Furulund', 'Nikolai Nikolaeff', 'Woody Norman', 'Graham Turner', 'Andy Murray', 'Nicolo Pasetti', 'Christopher York', 'Vladimir Cabak', 'Rudolf Danielewicz', 'Noureddine Farihi', 'Malcolm Galea', 'Adam Shaw', 'Jack Doggart', 'Joe Depasquale', 'Sally Reeve']"
Boudica,60.57000000000001,"['Action', 'War']","['Olga Kurylenko', 'Peter Franzén', 'Clive Standen', 'Lucy Martin', 'Nick Moran', 'James Faulkner', 'Rita Tushingham', 'Harry Kirton', 'Andy Beckwith']"
