TITLE,USER RATING,GENRES,CAST
Saw X,73.97999999999999,"['Horror', 'Thriller']","['Tobin Bell', 'Shawnee Smith', 'Synnøve Macody Lund', 'Steven Brand', 'Renata Vaca', 'Joshua Okamoto', 'Octavio Hinojosa Martínez', 'Paulette Hernández', 'Jorge Briseño', 'Costas Mandylor', 'Michael Beach', 'Isan Beomhyun Lee', 'David Alfano', 'Katie Barberi', 'Lucía Gómez-Robledo', 'Donagh Gordon', 'Sebastián Torres', 'Cristo Ruiz', 'Baltimore Beltrán', 'Kerry Ardra', 'Natasha Goss', 'Craig Hurley', 'James Burg', 'Bailey Guidry']"
Meg 2: The Trench,67.36,"['Action', 'Science Fiction', 'Horror']","['Jason Statham', 'Wu Jing', 'Shuya Sophia Cai', 'Page Kennedy', 'Sergio Peris-Mencheta', 'Sienna Guillory', 'Cliff Curtis', 'Skyler Samuels', 'Melissanthi Mahut', 'Whoopie van Raam', 'Kiran Sonia Sawar', 'Felix Mayr', 'Guo Tao', 'Robin Hill', 'Dai Lele', 'Sui Fong Ivy Tsui', 'Stewart Alexander', 'Able Wanamakok', 'Xiong Jinyi', 'Cai Jingjing', 'Li Xin', 'Kenneth Won', 'Longxi', 'Bai Narisu', 'Matthew Stirling', 'Richard Glover', 'Billy Clements', 'Jonny James', 'Enzo di Bonaventura', 'Sara Dee']"
PAW Patrol: The Mighty Movie,69.18,"['Animation', 'Family', 'Action', 'Science Fiction', 'Comedy']","['Mckenna Grace', 'Christian Convery', 'Taraji P. Henson', 'Kristen Bell', 'Lil Rel Howery', 'James Marsden', 'Finn Lee-Epp', 'Serena Williams', 'Alan Kim', 'Brice Gonzalez', 'Kim Kardashian', 'North West', 'Marsai Martin', 'Ron Pardo', 'Callum Shoniker', 'Luxton Handspiker', 'Christian Corrao', 'Nylan Parthipan', 'Saint West', 'Chris Rock', 'Kim Roberts']"
Jawan,72.02,"['Action', 'Adventure', 'Thriller']","['Shah Rukh Khan', 'Nayanthara', 'Vijay Sethupathi', 'Priyamani', 'Sanya Malhotra', 'Girija Oak', 'Lehar Khan', 'Sanjeeta Bhattacharya', 'Aaliyah Qureishi', 'Sunil Grover', 'Ridhi Dogra', 'Deepika Padukone', 'Mukesh Chhabra', 'Yogi Babu', 'Eijaz Khan', 'Ashlesha Thakur', 'Kenny Basumatary', 'Bharat Raj', 'Naresh Gosain', 'Ravindra Vijay', 'Omkar Das Manikpuri', 'Boxer Dheena', 'Smita Tambe', 'Sukhi Garewal', 'Sangay Tsheltrim', 'Seeza Saroj', 'Abiral Limboo', 'Utsav Narula', 'Priyansh Vatiani', 'Abhishek Deswal', 'Ashwin Goshal', 'Viraj Ghelani', 'Jaffer Sadiq', 'Vivek Raghuvanshi', 'Sharad Vyas', 'Direndo Loitangbam', 'Sirisha Hanumanth', 'Leesha Eclairs', 'Sanjay Dutt', 'Atlee']"
Transformers: Rise of the Beasts,74.53,"['Action', 'Adventure', 'Science Fiction']","['Anthony Ramos', 'Dominique Fishback', 'Peter Cullen', 'Ron Perlman', 'Peter Dinklage', 'Michelle Yeoh', 'Pete Davidson', 'Liza Koshy', 'Cristo Fernández', 'Luna Lauren Velez', 'Dean Scott Vazquez', 'Tobe Nwigwe', 'Sarah Stiles', 'Leni Parker', 'Frank Marrs', 'Aidan Devine', 'Kerwin Jackson', 'Mike Chute', 'Tyler Hall', 'Sean Tucker', 'Jay Farrar', 'Lucas Huarancca', 'Amiel Cayo', 'Santusa Cutipa', 'Yesenia Inquillay', ""Sumac T'Ika"", 'Josue Sallo', 'Mellissa Alvarez', 'Gloria Cusi', 'Michael Kelly', 'Jason D. Avalos', 'Lesley Stahl', 'John DiMaggio', 'David Sobolov', 'Michaela Jaé Rodriguez', 'Colman Domingo', 'Tongayi Chirisa', 'Luke Jones']"
Elemental,77.0,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey', ""Catherine O'Hara"", 'Mason Wertheimer', 'Ronobir Lahiri', 'Wilma Bonet', 'Joe Pera', 'Matthew Yang King', 'Clara Lin Ding', 'Reagan To', 'Jeff Lapensee', 'Ben Morris', 'Alex Kapp', 'P.L. Brown', 'Jonathan Adams']"
Mousa,62.0,"['Action', 'Adventure', 'Science Fiction']","['Karim Mahmoud Abdel Aziz', 'Eyad Nassar', 'Asmaa Abu ElYazeed', 'Sabry Fawaz', 'Mohamed Lotfi', 'Mahmoud Hafez', 'Sara Elshamy', 'Ahmed Hatem', 'Ahmed ElAwadi', 'Kazim Nabil', 'Abdel Rahman ElQalyoubi', 'Salah Abdallah', 'Mohamed Gomaa', 'Ahmed Thabit', 'Ahmed Al Salakawi', 'Amr Adib', 'Amir Karara', 'Hesham Selim', 'Omar El Shenawy']"
Avatar: The Way of Water,76.5,"['Science Fiction', 'Adventure', 'Action']","['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco', 'Jemaine Clement', 'Giovanni Ribisi', 'Britain Dalton', 'Jamie Flatters', 'Trinity Bliss', 'Jack Champion', 'Brendan Cowell', 'Bailey Bass', 'Filip Geljo', 'Duane Evans Jr.', 'Dileep Rao', 'Matt Gerald', 'Robert Okumu', 'Jennifer Stafford', 'Keston John', 'Kevin Dorman', 'Alicia Vela-Bailey', 'Sean Anthony Moran', 'Andrew Arrabito', 'Johnny Alexander', 'Kim Do', 'Victor T. Lopez', 'Maria Walker', 'Phil Brown', 'Jocelyn Christian', 'Joel Tobeck', 'Moana Ete', 'Phil Peleton', 'Jamie Landau', 'Jim Moore', 'Benjamin Hoetjes', 'Nikita Tu Bryant', 'Anthony Ahern', 'Shane Rangi', 'Rick Lucas', 'Tanya Drewery', 'Ava Diakhaby', 'Isaac Te Reina', 'Eric Farmer', 'Philip Mtambo', 'Daniel Lough', 'Cruz Moir', 'Alex Lucas', 'Scarlett Fernandez', 'Chloe Coleman', 'Jeremy Irwin', 'Jake McLean', 'CJ Jones', 'Adrien Antoine', 'Ingrid Donnadieu', 'Ninon Moreau', 'Sylvie Genty', 'Xavier Fagnon', 'Matt Mouredon', 'Julien Alluguette', 'Oscar Douieb', 'Anneliese Fromont', 'Mathieu Buscatto', 'Jaynelia Coadou', 'Marianne Leroux', 'Thiéry Dubé', 'Laurent Maurel', 'Carmen Levrau', 'Pierre Boulanger', 'Patrick Mancini', 'Michèle Bardollet', 'Luc Boulad', 'Boris Rehlinger', 'Alexandre Nguyen', 'Damien Witecka']"
Wish,67.67999999999999,"['Animation', 'Family', 'Fantasy', 'Adventure']","['Ariana DeBose', 'Chris Pine', 'Alan Tudyk', 'Angelique Cabral', 'Victor Garber', 'Natasha Rothwell', 'Jennifer Kumiyama', 'Harvey Guillén', 'Niko Vargas', 'Ramy Youssef', 'Evan Peters', 'Jon Rudnitsky', 'Della Saba', 'Keone Young', 'Lucas Sigler', 'Holland Watkins', 'Woody Buck', 'Efé', 'Nicole Lynn Evans', 'Heather Matarazzo', 'Nasim Pedrad', 'Abraham Sigler', 'Yvette Nicole Brown', 'James Monroe Iglehart']"
Gran Turismo,80.0,"['Adventure', 'Action', 'Drama']","['Archie Madekwe', 'David Harbour', 'Orlando Bloom', 'Djimon Hounsou', 'Darren Barnet', 'Maeve Courtier-Lilley', 'Geri Horner', 'Daniel Puig', 'Josha Stradowski', 'Thomas Kretschmann', 'Emelia Hartford', 'Pepe Barroso', 'Sang Heon Lee', 'Maximilian Mundt', 'Mariano González', 'Lindsay Pattison', 'Théo Christine', 'Nikhil Parmar', 'Richard Cambridge', 'Takehiro Hira', 'Niall McShea', 'Akie Kotabe', 'Sadao Ueda', 'Wai Wong', 'Jamie Kenna', 'Royce Cronin', 'Harki Bhambra', 'Joanne Heywood', 'Cavan Jones', 'Lloyd Meredith', 'Hannah Hornsby', 'Bence Bauer', 'Ciaran Joyce', 'John Carter', 'Niki Faulkner', 'Rina Saito', 'Peter Lundie', 'Andrea Vasiliou', 'Yoojin Lee', 'Matthew Hirsch', 'Jacques Jouffret', 'Eszter Zavaros', 'Daijiro Yoshihara', 'Maya Murofushi', 'Bianca Bardoe', 'Selin Cuhadaroglu', 'Hadia Tarek Mohamed Elsayed Sadek Ghaleb', 'Kal Sabir', 'Ayano Yamamoto', 'Will Buxton', 'Atsushi Kuwayama', 'Kazunori Yamauchi']"
