TITLE,USER RATING,GENRES,CAST
Welcome al Norte,83.94,['Comedy'],"['Silverio Palacios', 'Ricardo Abarca', 'Isabel Burr', 'Héctor Jiménez', 'Paco Rueda', 'Amorita Rasgado', 'Raquel Garza']"
Freelance,65.35,"['Action', 'Comedy']","['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve', 'Marton Csokas', 'Christian Slater', 'Julianne Arrieta', 'Molly McCann', 'Daniel Toro', 'Sebastián Eslava', 'Roberto Cano']"
The Mongolian Connection,65.0,['Action'],"['Amarsaikhan Baljinnyam', 'Kaiwi Lyman', 'Sannjar Madi', 'Zhandos Aibassov', 'Tsetsegee Byamba', 'Kate Amundsen']"
Talk to Me,71.96,"['Horror', 'Thriller']","['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird', 'Otis Dhanji', 'Miranda Otto', 'Zoe Terakes', 'Chris Alosio', 'Marcus Johnson', 'Alexandria Steffensen', 'Ari McCarthy', 'Sunny Johnson', 'James Oliver', 'Cass Cumerford', 'Jett Gazley', 'Kitt Erhart-Bruce', 'Hamish Phillips', 'Kidaan Zelleke', 'Sarah Brokensha', 'Jayden Davison', 'Jodie Dry', 'Frances Cassar', 'Kelly Butler', 'Ava Stenta', 'Harli Ames', 'Leeanna Walsman', 'Kerry Reid', 'Robin Northover', 'Jacek Koman', 'Helene Philippou', 'Jude Turner', 'Zac Scott', 'Jess Kuss', 'David Roberts', 'Demi Van Kasteren', 'Pia Gillings', 'Oscar Wangel', 'Courtlan Gordan', 'Louisa Giameos', ""Jem O'Callaghan"", 'Joe Romeo', 'Alex Noel McCarthy', 'Charlie Morkunas', 'Patricia Haycock', 'Murray Haycock', 'Catherine Purling', 'Nicola Thiele', 'David Simmons', 'Joseph House Baker', 'Alice Scheid', 'Anita Kimber', 'Ben Bullock', 'Brian Godfrey', 'Cooper Duncan', 'Daniel Pitt', 'Danielle Ruggiero-Prior', 'Dylan Warren', 'Emily Fogg', 'Emily Gun', 'Jason Moore', 'Jessica Homewood', 'Kate Portus', 'Lelum Rathnayake', 'Matt Goldwyn', 'Michael Gilmore', 'Philip Maynard', 'Sarah Baber', 'Saravjit Singh', 'Shadrack Kamau', 'Thomas Gardner', 'Mark Duncan', 'Ella Fenwick', 'Michael Harpas', 'Nikolas Gelios', 'Alex Philippou', 'Con Lipapis', 'Con Patelias', 'Louis Vavaroutsos', 'Uncle Mars', 'Nick Lipapis']"
The Elevator,70.0,['Horror'],"['Chrissie Wunna', 'Alix Maxwell', 'George Nettleton', 'Danielle Scott', 'Osian Dixon', 'Louise Wildman', 'Harrison Thomas Boxley', 'Stephen Staley', 'Bao Tieu', 'Chris Cordell', 'Giedre Jackyte', 'Ruby Wunna']"
All-Time High,56.589999999999996,"['Comedy', 'Romance']","['Nassim Lyes', 'Zoé Marchal', 'Ciryl Gane', 'Yassine Stein', 'Adrien Essamir', 'Eric Cullet', 'Yousef Ramal', 'Yovel Lewkowski', 'Guillaume Canet', 'Hakim Jemili', 'Alexandre Kominek', 'Kenza Fortas', 'Panayotis Pascot', 'Gustave Kervern', 'Hedi Bouchenafa', 'Paul Deby', 'Ichem Bougheraba', 'Adèle Exarchopoulos']"
Babylon A.D.,56.01,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Vin Diesel', 'Michelle Yeoh', 'Mélanie Thierry', 'Lambert Wilson', 'Charlotte Rampling', 'Gérard Depardieu', 'Mark Strong', 'Jérôme Le Banner', 'David Belle', 'Joel Kirby', 'Souleymane Dicko', 'Radek Brůna', 'Jan Unger', 'Abraham Belaga', 'David Gasman', 'Gary Cowan', 'Lemmy Constantine', 'Pete Thias', 'Curtis Matthew']"
Godzilla Minus One,84.0,"['Action', 'Drama', 'Science Fiction', 'Horror']","['Ryunosuke Kamiki', 'Minami Hamabe', 'Yuki Yamada', 'Munetaka Aoki', 'Hidetaka Yoshioka', 'Sakura Ando', 'Kuranosuke Sasaki', 'Mio Tanaka', 'Yuya Endo', 'Kisuke Iida', 'Saki Nagatani']"
Come Out Fighting,47.0,"['War', 'Drama', 'Action']","['Dolph Lundgren', 'Tyrese Gibson', 'Michael Jai White', 'Kellan Lutz', 'Vicellous Shannon', 'Hiram A. Murray', 'Justen Jones', 'Gary David Keast', 'Aaron Courteau', 'Martin Davis', 'Charles Scaggs', 'Andrew Stecker', 'Brandon Farr', 'Sterling Rasmussen', 'Mike Dittmer', 'Jeremy Michael Pereira']"
Harry Potter and the Philosopher's Stone,79.15,"['Adventure', 'Fantasy']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris', 'Tom Felton', 'Alan Rickman', 'Robbie Coltrane', 'Maggie Smith', 'Richard Griffiths', 'Ian Hart', 'Fiona Shaw', 'John Hurt', 'David Bradley', 'Matthew Lewis', 'Sean Biggerstaff', 'Warwick Davis', 'Harry Melling', 'James Phelps', 'Oliver Phelps', 'John Cleese', 'Chris Rankin', 'Alfred Enoch', 'Devon Murray', 'Jamie Waylett', 'Josh Herdman', 'Zoë Wanamaker', 'Julie Walters', 'Bonnie Wright', 'Luke Youngblood', 'Verne Troyer', 'Adrian Rawlins', 'Geraldine Somerville', 'Elizabeth Spriggs', 'Richard Bremmer', 'Nina Young', 'Terence Bayler', 'Harry Taylor', 'Leslie Phillips', 'Simon Fisher-Becker', 'Derek Deadman', 'Ray Fearon', 'Eleanor Columbus', 'Ben Borowiecki', 'Danielle Tabor', 'Leilah Sutherland', 'Emily Dale', 'Will Theakston', 'Saunders Triplets', 'David Holmes', 'Jean Southern', 'Kieri Kennedy', 'Leila Hoffman', 'Julianne Hough', 'Zoe Sugg', 'Jimmy Vee', 'Derek Hough', 'Dani Harmer', 'Mark Ballas', 'Paul Marc Davis', 'Violet Columbus', 'Paul Grant', 'Scot Fearn']"
Aquaman and the Lost Kingdom,0.0,"['Action', 'Adventure', 'Fantasy']","['Jason Momoa', 'Patrick Wilson', 'Amber Heard', 'Yahya Abdul-Mateen II', 'Nicole Kidman', 'Dolph Lundgren', 'Randall Park', 'Temuera Morrison', 'Indya Moore', 'Pilou Asbæk', 'Jani Zhao', 'Vincent Regan']"
Mavka: The Forest Song,72.83,"['Animation', 'Adventure', 'Family', 'Fantasy']","['Nataliia Denysenko', 'Artem Pyvovarov', 'Nazar Zadniprovskyi', 'Oleh Skrypka', 'Olena Kravets', 'Serhii Prytula', 'Oleh Mykhailiuta', 'Nataliia Sumska', 'Julia Sanina', 'Mykhailo Khoma', 'Nina Matviienko', 'Kateryna Osadcha', 'Andrii Mostrenko', 'Khrystyna Soloviy', 'Kateryna Kukhar', 'DakhaBrakha']"
The Immortal Wars: Rebirth,35.0,['Science Fiction'],"['Corey Taylor', 'Destiny Salas', 'Lindsey Cruz', 'Steve Delgado', 'Julie Garcia-Briceno', 'Jackie Gerhardy', 'Mark Justice', 'Gotham McFadden', 'Destiny Faith Nelson', 'Julie Anne Prescott']"
